2011-07-09 15:32:59.871369	BATP204	96
2011-07-09 15:34:56.823536	M002	OFF
2011-07-09 15:34:57.431742	M006	OFF
2011-07-09 15:34:57.496373	M018	OFF
2011-07-09 15:34:57.57274	M016	ON
2011-07-09 15:34:58.012	M015	ON
2011-07-09 15:34:58.387481	M017	OFF
2011-07-09 15:34:58.624088	M005	OFF
2011-07-09 15:34:59.192249	M008	ON
2011-07-09 15:34:59.375809	M009	ON
2011-07-09 15:34:59.431529	M003	OFF
2011-07-09 15:34:59.531959	M007	ON
2011-07-09 15:34:59.707104	M016	OFF
2011-07-09 15:35:00.332912	M008	OFF
2011-07-09 15:35:00.500667	M015	OFF
2011-07-09 15:35:00.691784	SS011	STILL
2011-07-09 15:35:00.704697	M005	ON
2011-07-09 15:35:01.391633	M004	OFF
2011-07-09 15:35:01.772065	M009	OFF
2011-07-09 15:35:01.80358	SS010	MOVED
2011-07-09 15:35:03.142835	M005	OFF
2011-07-09 15:35:04.026621	M003	ON
2011-07-09 15:35:04.386989	M004	ON
2011-07-09 15:35:04.823901	M005	ON
2011-07-09 15:35:05.959851	M005	OFF
2011-07-09 15:35:06.230427	M002	ON
2011-07-09 15:35:06.436338	M004	OFF
2011-07-09 15:35:07.193885	M003	OFF
2011-07-09 15:35:07.331851	M001	ON
2011-07-09 15:35:07.368789	M023	ON
2011-07-09 15:35:08.749711	M022	ON
2011-07-09 15:35:09.151031	M007	OFF
2011-07-09 15:35:09.18143	M021	ON
2011-07-09 15:35:09.50154	M002	OFF
2011-07-09 15:35:10.330785	M024	ON
2011-07-09 15:35:10.412626	M023	OFF
2011-07-09 15:35:10.603584	M001	OFF
2011-07-09 15:35:11.76203	M022	OFF
2011-07-09 15:35:12.503681	M021	OFF
2011-07-09 15:35:14.839066	M024	OFF
2011-07-09 15:35:15.48347	D001	CLOSE
2011-07-09 15:35:16.967292	M043	ON
2011-07-09 15:35:17.687374	D018	OPEN
2011-07-09 15:35:17.881667	M042	ON
2011-07-09 15:35:20.548352	M043	OFF
2011-07-09 15:35:21.660759	M042	OFF
2011-07-09 15:35:23.696372	M042	ON
2011-07-09 15:35:28.202739	M043	ON
2011-07-09 15:35:28.945639	M042	OFF
2011-07-09 15:35:29.353441	M043	OFF
2011-07-09 15:35:34.620997	M024	ON
2011-07-09 15:35:35.676888	M021	ON
2011-07-09 15:35:36.363943	M022	ON
2011-07-09 15:35:36.762404	M024	OFF
2011-07-09 15:35:37.680484	M023	ON
2011-07-09 15:35:37.90776	M001	ON
2011-07-09 15:35:37.999747	M021	OFF
2011-07-09 15:35:38.593366	M022	OFF
2011-07-09 15:35:38.699291	M007	ON
2011-07-09 15:35:39.630171	M006	ON
2011-07-09 15:35:39.674243	M023	OFF
2011-07-09 15:35:40.433494	M001	OFF
2011-07-09 15:35:41.196842	M010	ON
2011-07-09 15:35:42.911079	M010	OFF
2011-07-09 15:35:44.251838	M006	OFF
2011-07-09 15:35:44.869521	M007	OFF
2011-07-09 15:36:22.329962	M006	ON
2011-07-09 15:36:23.443478	M006	OFF
2011-07-09 15:36:56.232895	M006	ON
2011-07-09 15:36:57.358371	M006	OFF
2011-07-09 15:37:04.929336	M042	ON
2011-07-09 15:37:07.990184	M042	OFF
2011-07-09 15:37:08.020618	D018	CLOSE
2011-07-09 15:37:11.583654	M006	ON
2011-07-09 15:37:12.721195	M006	OFF
2011-07-09 15:37:13.850734	M006	ON
2011-07-09 15:37:14.983067	M006	OFF
2011-07-09 15:38:04.770225	BATV107	3000
2011-07-09 15:38:04.778323	BATP107	100
2011-07-09 15:38:24.16605	M006	ON
2011-07-09 15:38:26.028429	M006	OFF
2011-07-09 15:38:27.524271	M006	ON
2011-07-09 15:38:27.801771	M007	ON
2011-07-09 15:38:28.663621	M006	OFF
2011-07-09 15:38:28.925994	M007	OFF
2011-07-09 15:38:36.811989	M007	ON
2011-07-09 15:38:37.103814	M006	ON
2011-07-09 15:38:37.946656	M007	OFF
2011-07-09 15:38:38.230255	M006	OFF
2011-07-09 15:39:13.866924	M006	ON
2011-07-09 15:39:15.870553	M006	OFF
2011-07-09 15:39:17.315784	M007	ON
2011-07-09 15:39:18.42746	M007	OFF
2011-07-09 15:39:28.853479	M006	ON
2011-07-09 15:39:28.938684	M007	ON
2011-07-09 15:39:29.945661	M006	OFF
2011-07-09 15:39:30.067721	M007	OFF
2011-07-09 15:40:12.503555	M006	ON
2011-07-09 15:40:13.654001	M006	OFF
2011-07-09 15:40:14.189957	M006	ON
2011-07-09 15:40:15.333896	M006	OFF
2011-07-09 15:40:15.904969	M006	ON
2011-07-09 15:40:17.02245	M006	OFF
2011-07-09 15:40:18.72336	M006	ON
2011-07-09 15:40:19.842856	M006	OFF
2011-07-09 15:41:20.213062	M006	ON
2011-07-09 15:41:21.036593	M007	ON
2011-07-09 15:41:21.322143	M006	OFF
2011-07-09 15:41:22.167738	M007	OFF
2011-07-09 15:42:11.946084	M006	ON
2011-07-09 15:42:13.074316	M006	OFF
2011-07-09 15:42:16.073225	M006	ON
2011-07-09 15:42:17.721282	M006	OFF
2011-07-09 15:42:18.508692	M006	ON
2011-07-09 15:42:19.650686	M006	OFF
2011-07-09 15:42:19.744333	M007	ON
2011-07-09 15:42:20.855689	M007	OFF
2011-07-09 15:42:20.952428	M006	ON
2011-07-09 15:42:22.071874	M006	OFF
2011-07-09 15:42:26.172006	M006	ON
2011-07-09 15:42:27.398007	M007	ON
2011-07-09 15:42:28.538669	M007	OFF
2011-07-09 15:42:29.01224	M006	OFF
2011-07-09 15:42:33.031302	M007	ON
2011-07-09 15:42:33.131741	M006	ON
2011-07-09 15:42:34.139541	M007	OFF
2011-07-09 15:42:34.792859	M006	OFF
2011-07-09 15:42:43.814981	M006	ON
2011-07-09 15:42:44.84551	M007	ON
2011-07-09 15:42:47.641812	M007	OFF
2011-07-09 15:42:48.312453	M006	OFF
2011-07-09 15:42:49.432464	M006	ON
2011-07-09 15:42:50.56377	M006	OFF
2011-07-09 15:42:53.660227	M007	ON
2011-07-09 15:42:56.462523	M007	OFF
2011-07-09 15:43:04.709248	M007	ON
2011-07-09 15:43:05.752516	D018	OPEN
2011-07-09 15:43:06.51826	M042	ON
2011-07-09 15:43:07.125824	M043	ON
2011-07-09 15:43:07.419688	M007	OFF
2011-07-09 15:43:08.412529	M043	OFF
2011-07-09 15:43:08.462498	D018	CLOSE
2011-07-09 15:43:08.506377	M042	OFF
2011-07-09 15:43:12.354586	M024	ON
2011-07-09 15:43:13.411286	M021	ON
2011-07-09 15:43:13.992393	M019	ON
2011-07-09 15:43:14.029928	M022	ON
2011-07-09 15:43:14.598598	M024	OFF
2011-07-09 15:43:14.949267	M023	ON
2011-07-09 15:43:15.080596	M019	OFF
2011-07-09 15:43:15.123215	M001	ON
2011-07-09 15:43:15.73048	M021	OFF
2011-07-09 15:43:15.974177	M007	ON
2011-07-09 15:43:16.209254	M022	OFF
2011-07-09 15:43:16.973017	M001	OFF
2011-07-09 15:43:17.085687	M023	OFF
2011-07-09 15:43:18.778828	M007	OFF
2011-07-09 15:43:21.781404	M007	ON
2011-07-09 15:43:23.302128	M001	ON
2011-07-09 15:43:23.566935	M023	ON
2011-07-09 15:43:24.270387	M022	ON
2011-07-09 15:43:24.400118	M007	OFF
2011-07-09 15:43:25.047525	M021	ON
2011-07-09 15:43:25.241005	M001	OFF
2011-07-09 15:43:25.290103	M023	OFF
2011-07-09 15:43:26.050393	M024	ON
2011-07-09 15:43:26.504195	M022	OFF
2011-07-09 15:43:26.894128	M021	OFF
2011-07-09 15:43:27.94646	M024	OFF
2011-07-09 15:43:28.718116	M007	ON
2011-07-09 15:43:29.838351	M007	OFF
2011-07-09 15:43:33.244663	M043	ON
2011-07-09 15:43:33.596543	M042	ON
2011-07-09 15:43:34.004239	D018	OPEN
2011-07-09 15:43:34.354422	M043	OFF
2011-07-09 15:43:36.295936	D018	CLOSE
2011-07-09 15:43:36.990204	M042	OFF
2011-07-09 15:43:50.842561	M007	ON
2011-07-09 15:43:52.039285	M007	OFF
2011-07-09 15:43:54.062682	M007	ON
2011-07-09 15:43:55.871251	M007	OFF
2011-07-09 15:44:01.519031	M007	ON
2011-07-09 15:44:05.079972	M007	OFF
2011-07-09 15:44:09.986219	M007	ON
2011-07-09 15:44:11.086885	M007	OFF
2011-07-09 15:44:15.939356	M007	ON
2011-07-09 15:44:19.33123	M007	OFF
2011-07-09 15:45:55.039889	M007	ON
2011-07-09 15:45:56.076825	M007	OFF
2011-07-09 15:45:57.575811	M007	ON
2011-07-09 15:45:58.694591	M007	OFF
2011-07-09 15:46:05.273237	M007	ON
2011-07-09 15:46:05.541591	M010	ON
2011-07-09 15:46:05.839607	M006	ON
2011-07-09 15:46:06.663376	M010	OFF
2011-07-09 15:46:06.858019	M006	OFF
2011-07-09 15:46:07.291411	M002	ON
2011-07-09 15:46:08.411579	M002	OFF
2011-07-09 15:46:10.125134	M007	OFF
2011-07-09 15:46:10.89152	M007	ON
2011-07-09 15:46:11.832216	M009	ON
2011-07-09 15:46:12.282571	M008	ON
2011-07-09 15:46:13.165145	M015	ON
2011-07-09 15:46:13.259814	M016	ON
2011-07-09 15:46:13.501834	M007	OFF
2011-07-09 15:46:14.553974	M008	OFF
2011-07-09 15:46:14.637802	M009	OFF
2011-07-09 15:46:15.030517	M017	ON
2011-07-09 15:46:16.001013	M015	OFF
2011-07-09 15:46:16.252169	M016	OFF
2011-07-09 15:46:17.00577	M018	ON
2011-07-09 15:46:17.243444	M051	ON
2011-07-09 15:46:17.561207	SS010	STILL
2011-07-09 15:46:18.021388	M017	OFF
2011-07-09 15:46:18.749372	D011	OPEN
2011-07-09 15:46:19.238912	M018	OFF
2011-07-09 15:46:19.501595	SS010	MOVED
2011-07-09 15:46:19.97473	M018	ON				1-start
2011-07-09 15:46:21.115192	M018	OFF
2011-07-09 15:46:22.124171	M051	OFF
2011-07-09 15:46:22.251538	SS002	MOVED				1.1
2011-07-09 15:46:22.832758	SS001	MOVED
2011-07-09 15:46:23.263687	M051	ON
2011-07-09 15:46:25.141045	M051	OFF
2011-07-09 15:46:27.763844	M051	ON
2011-07-09 15:46:28.970103	M018	ON				1.4
2011-07-09 15:46:30.087585	M018	OFF
2011-07-09 15:46:30.658994	M018	ON
2011-07-09 15:46:31.432796	SS001	STILL
2011-07-09 15:46:31.888071	M051	OFF
2011-07-09 15:46:32.554834	M051	ON
2011-07-09 15:46:33.590844	M051	OFF
2011-07-09 15:46:38.705834	M018	OFF
2011-07-09 15:46:39.196115	M017	ON				1.4
2011-07-09 15:46:45.011436	M017	OFF	
2011-07-09 15:46:47.750935	M016	ON				1.4
2011-07-09 15:46:48.262478	M015	ON
2011-07-09 15:46:49.379979	M015	OFF
2011-07-09 15:46:50.802043	M017	ON
2011-07-09 15:46:52.064068	M016	OFF
2011-07-09 15:46:53.009195	M018	ON				1.8
2011-07-09 15:46:53.641611	SS010	STILL
2011-07-09 15:46:54.189163	M017	OFF
2011-07-09 15:46:54.554446	M051	ON
2011-07-09 15:46:55.602761	SS010	MOVED
2011-07-09 15:46:57.876371	M018	OFF
2011-07-09 15:46:58.687618	M051	OFF
2011-07-09 15:47:04.542616	SS001	MOVED				1.3
2011-07-09 15:47:05.95279	SS003	MOVED
2011-07-09 15:47:05.980234	M051	ON
2011-07-09 15:47:06.845008	M018	ON
2011-07-09 15:47:07.982039	M018	OFF				1.5
2011-07-09 15:47:08.141806	SS002	STILL
2011-07-09 15:47:08.523255	M018	ON				1.10
2011-07-09 15:47:09.301509	SS001	STILL
2011-07-09 15:47:09.747511	M051	OFF
2011-07-09 15:47:10.314278	M017	ON				1.2	
2011-07-09 15:47:11.377126	M018	OFF
2011-07-09 15:47:12.306854	M016	ON
2011-07-09 15:47:12.819572	M015	ON
2011-07-09 15:47:12.958255	M017	OFF
2011-07-09 15:47:14.184203	M014	ON				1.7
2011-07-09 15:47:14.743943	M016	OFF
2011-07-09 15:47:15.468209	M015	OFF
2011-07-09 15:47:15.563106	M013	ON				1.7
2011-07-09 15:47:18.518375	M014	OFF
2011-07-09 15:47:21.673805	M010	ON
2011-07-09 15:47:21.750273	M013	OFF
2011-07-09 15:47:23.050603	M013	ON
2011-07-09 15:47:24.088571	M010	OFF
2011-07-09 15:47:24.178443	M013	OFF
2011-07-09 15:47:25.676949	M013	ON
2011-07-09 15:47:26.153213	M012	ON
2011-07-09 15:47:27.282781	M012	OFF
2011-07-09 15:47:28.8486	M014	ON
2011-07-09 15:47:30.93787	M013	OFF
2011-07-09 15:47:31.518241	M009	ON				1.6
2011-07-09 15:47:33.457507	M008	ON
2011-07-09 15:47:33.934159	M007	ON				1.6
2011-07-09 15:47:34.09085	M014	OFF
2011-07-09 15:47:35.751112	M009	OFF
2011-07-09 15:47:35.833628	M001	ON
2011-07-09 15:47:35.911164	M008	OFF
2011-07-09 15:47:36.147947	M002	ON
2011-07-09 15:47:36.545549	M007	OFF
2011-07-09 15:47:37.290469	M002	OFF
2011-07-09 15:47:37.883187	M001	OFF
2011-07-09 15:47:39.207458	M001	ON
2011-07-09 15:47:39.616679	M002	ON
2011-07-09 15:47:40.353813	M001	OFF
2011-07-09 15:47:44.62796	M007	ON
2011-07-09 15:47:45.5339	M002	OFF
2011-07-09 15:47:45.754894	M007	OFF
2011-07-09 15:47:46.404774	M006	ON				1.6
2011-07-09 15:47:47.639839	M003	ON
2011-07-09 15:47:49.031326	M006	OFF
2011-07-09 15:47:50.021672	M002	ON
2011-07-09 15:47:50.428487	M007	ON
2011-07-09 15:47:51.258143	M003	OFF
2011-07-09 15:47:51.297442	M008	ON
2011-07-09 15:47:52.299015	M002	OFF
2011-07-09 15:47:52.811472	M015	ON
2011-07-09 15:47:52.884009	M016	ON
2011-07-09 15:47:53.140966	M007	OFF
2011-07-09 15:47:53.707634	M008	OFF
2011-07-09 15:47:54.565496	M017	ON
2011-07-09 15:47:54.691507	M015	OFF
2011-07-09 15:47:55.640612	M018	ON				1.9
2011-07-09 15:47:55.732043	M016	OFF
2011-07-09 15:47:55.771513	SS010	STILL
2011-07-09 15:47:56.624981	M017	OFF
2011-07-09 15:47:56.817883	M051	ON
2011-07-09 15:47:57.8439	M018	OFF
2011-07-09 15:47:59.039446	M051	OFF
2011-07-09 15:47:59.811439	SS002	MOVED
2011-07-09 15:47:59.86636	M051	ON
2011-07-09 15:48:00.111527	SS001	MOVED
2011-07-09 15:48:00.661465	SS010	MOVED
2011-07-09 15:48:01.6214	D011	CLOSE
2011-07-09 15:48:02.551541	SS010	STILL
2011-07-09 15:48:03.571294	SS003	STILL
2011-07-09 15:48:03.660939	M018	ON				1-end
2011-07-09 15:48:04.901704	M017	ON
2011-07-09 15:48:05.001454	SS001	STILL
2011-07-09 15:48:05.068343	M051	OFF
2011-07-09 15:48:05.551554	SS002	STILL
2011-07-09 15:48:05.70964	M018	OFF
2011-07-09 15:48:06.309011	M016	ON
2011-07-09 15:48:06.443897	M015	ON
2011-07-09 15:48:06.541472	SS002	MOVED
2011-07-09 15:48:07.134262	M017	OFF
2011-07-09 15:48:07.69917	M009	ON
2011-07-09 15:48:08.134873	M008	ON
2011-07-09 15:48:08.369432	M016	OFF
2011-07-09 15:48:08.401451	SS010	MOVED
2011-07-09 15:48:08.611456	M007	ON
2011-07-09 15:48:08.87325	M015	OFF
2011-07-09 15:48:09.541085	SS002	STILL
2011-07-09 15:48:10.134146	M009	OFF
2011-07-09 15:48:11.14006	M008	OFF
2011-07-09 15:48:12.179676	M007	OFF
2011-07-09 15:48:17.815449	M007	ON
2011-07-09 15:48:21.375695	M007	OFF
2011-07-09 15:48:24.163941	M007	ON
2011-07-09 15:48:25.291268	M007	OFF
2011-07-09 15:48:26.050537	M007	ON
2011-07-09 15:48:27.747638	M007	OFF
2011-07-09 15:48:28.299877	M007	ON
2011-07-09 15:48:28.574646	M008	ON
2011-07-09 15:48:29.749083	M008	OFF
2011-07-09 15:48:30.368239	M007	OFF
2011-07-09 15:48:33.177743	M007	ON
2011-07-09 15:48:35.435441	M007	OFF
2011-07-09 15:48:38.448186	M007	ON
2011-07-09 15:48:39.566035	M007	OFF
2011-07-09 15:48:43.303382	M007	ON
2011-07-09 15:48:44.426871	M007	OFF
2011-07-09 15:48:46.470644	M007	ON
2011-07-09 15:48:47.615634	M007	OFF
2011-07-09 15:48:49.289147	M007	ON
2011-07-09 15:48:51.720651	M007	OFF
2011-07-09 15:49:04.676106	M007	ON
2011-07-09 15:49:07.304796	M007	OFF
2011-07-09 15:49:08.616893	M007	ON
2011-07-09 15:49:09.706213	M007	OFF
2011-07-09 15:49:14.796367	M007	ON
2011-07-09 15:49:15.943173	M007	OFF
2011-07-09 15:49:18.943159	M007	ON
2011-07-09 15:49:21.043829	M007	OFF
2011-07-09 15:49:23.249693	M007	ON
2011-07-09 15:49:25.123657	M007	OFF
2011-07-09 15:49:26.222252	M007	ON
2011-07-09 15:49:26.401821	M002	ON
2011-07-09 15:49:26.499099	M008	ON
2011-07-09 15:49:26.64859	M001	ON
2011-07-09 15:49:27.548697	M002	OFF
2011-07-09 15:49:27.609091	M009	ON
2011-07-09 15:49:27.773242	M001	OFF
2011-07-09 15:49:27.976985	M015	ON
2011-07-09 15:49:28.423945	M016	ON
2011-07-09 15:49:28.865029	M007	OFF
2011-07-09 15:49:29.14582	M008	OFF
2011-07-09 15:49:29.256957	M009	OFF
2011-07-09 15:49:29.853135	M017	ON
2011-07-09 15:49:30.784093	M015	OFF
2011-07-09 15:49:30.972988	SS010	STILL
2011-07-09 15:49:31.046316	M018	ON				1-2-start
2011-07-09 15:49:31.101101	M016	OFF
2011-07-09 15:49:31.88867	M051	ON
2011-07-09 15:49:32.077243	M017	OFF
2011-07-09 15:49:32.623373	D011	OPEN
2011-07-09 15:49:33.08341	M018	OFF
2011-07-09 15:49:34.882984	SS010	MOVED
2011-07-09 15:49:35.901481	SS002	MOVED				1.1
2011-07-09 15:49:36.068712	M018	ON				1.4
2011-07-09 15:49:37.021196	D011	CLOSE
2011-07-09 15:49:37.192689	M018	OFF
2011-07-09 15:49:38.151507	SS010	STILL
2011-07-09 15:49:40.102728	SS010	MOVED
2011-07-09 15:49:43.025204	M018	ON				1.4
2011-07-09 15:49:45.546516	M051	OFF
2011-07-09 15:49:51.540295	M017	ON				1.4
2011-07-09 15:49:53.138037	M018	OFF
2011-07-09 15:49:56.236753	M017	OFF
2011-07-09 15:49:58.401562	M016	ON
2011-07-09 15:49:59.411749	M017	ON
2011-07-09 15:50:00.101184	M016	OFF
2011-07-09 15:50:00.546627	M017	OFF
2011-07-09 15:50:00.845767	M016	ON
2011-07-09 15:50:01.295223	M017	ON
2011-07-09 15:50:01.669103	T103	23
2011-07-09 15:50:01.968328	M016	OFF
2011-07-09 15:50:03.279866	M016	ON
2011-07-09 15:50:05.143455	M016	OFF
2011-07-09 15:50:09.087689	M018	ON				1.8
2011-07-09 15:50:09.926164	M051	ON
2011-07-09 15:50:10.125236	M017	OFF
2011-07-09 15:50:11.000796	D011	OPEN
2011-07-09 15:50:11.699372	M018	OFF
2011-07-09 15:50:14.053468	M051	OFF
2011-07-09 15:50:14.99604	M051	ON
2011-07-09 15:50:16.119003	M051	OFF
2011-07-09 15:50:17.661556	SS009	MOVED
2011-07-09 15:50:18.552641	M051	ON
2011-07-09 15:50:19.401479	M018	ON
2011-07-09 15:50:19.842818	SS009	STILL
2011-07-09 15:50:21.202776	D011	CLOSE
2011-07-09 15:50:21.970647	M051	OFF
2011-07-09 15:50:22.002186	M017	ON
2011-07-09 15:50:22.773094	M018	OFF
2011-07-09 15:50:23.01041	D011	OPEN
2011-07-09 15:50:23.313918	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/11.wav</do>
2011-07-09 15:50:23.372967	SS010	STILL
2011-07-09 15:50:23.712703	M016	ON
2011-07-09 15:50:24.43009	M017	OFF
2011-07-09 15:50:24.476846	M015	ON
2011-07-09 15:50:24.72151	SS002	STILL
2011-07-09 15:50:25.322927	SS010	MOVED
2011-07-09 15:50:25.628025	M014	ON
2011-07-09 15:50:25.969305	M016	OFF
2011-07-09 15:50:26.652013	M015	OFF
2011-07-09 15:50:27.973578	M015	ON
2011-07-09 15:50:28.58447	M016	ON
2011-07-09 15:50:29.599384	M014	OFF
2011-07-09 15:50:29.74562	M017	ON
2011-07-09 15:50:30.280322	M016	OFF
2011-07-09 15:50:30.41331	M015	OFF
2011-07-09 15:50:30.849094	M018	ON
2011-07-09 15:50:31.062742	SS010	STILL
2011-07-09 15:50:31.673582	M051	ON
2011-07-09 15:50:31.862729	M017	OFF
2011-07-09 15:50:34.602756	M018	OFF
2011-07-09 15:50:35.079743	M051	OFF
2011-07-09 15:50:35.788932	M051	ON				
2011-07-09 15:50:35.821477	SS001	MOVED				1.3
2011-07-09 15:50:35.951504	SS010	MOVED
2011-07-09 15:50:36.822853	M018	ON
2011-07-09 15:50:37.441486	SS003	STILL
2011-07-09 15:50:38.651968	M017	ON				1.5
2011-07-09 15:50:39.214599	M051	OFF
2011-07-09 15:50:39.758936	M017	OFF
2011-07-09 15:50:39.835471	M018	OFF
2011-07-09 15:50:44.434738	M017	ON
2011-07-09 15:50:44.516522	M018	ON				1.10
2011-07-09 15:50:45.362869	M051	ON
2011-07-09 15:50:46.164403	M017	OFF
2011-07-09 15:50:46.956007	M018	OFF
2011-07-09 15:50:48.092821	M018	ON
2011-07-09 15:50:48.921485	SS010	MOVED
2011-07-09 15:50:49.203528	M018	OFF
2011-07-09 15:50:50.794756	M051	OFF
2011-07-09 15:50:51.841548	SS003	MOVED				1.2
2011-07-09 15:50:54.781489	SS003	STILL
2011-07-09 15:50:55.721515	SS003	MOVED
2011-07-09 15:50:57.144118	M051	ON
2011-07-09 15:50:58.202751	M018	ON
2011-07-09 15:50:59.953845	M017	ON
2011-07-09 15:51:00.231475	SS001	STILL
2011-07-09 15:51:00.532791	M051	OFF
2011-07-09 15:51:00.545719	SS010	STILL
2011-07-09 15:51:01.214827	M018	OFF
2011-07-09 15:51:01.433633	M016	ON
2011-07-09 15:51:01.728992	M015	ON
2011-07-09 15:51:02.431943	M017	OFF
2011-07-09 15:51:02.943231	M014	ON				1.7
2011-07-09 15:51:03.65036	M016	OFF
2011-07-09 15:51:04.282428	M013	ON				1.7
2011-07-09 15:51:04.379556	M015	OFF
2011-07-09 15:51:04.441547	SS010	MOVED
2011-07-09 15:51:05.412795	M013	OFF
2011-07-09 15:51:05.784606	M014	OFF
2011-07-09 15:51:06.813566	M010	ON
2011-07-09 15:51:07.30835	M014	ON
2011-07-09 15:51:09.044883	M010	OFF
2011-07-09 15:51:09.873159	M013	ON
2011-07-09 15:51:11.944199	M013	OFF
2011-07-09 15:51:12.12849	M014	OFF
2011-07-09 15:51:12.441974	M009	ON
2011-07-09 15:51:12.69875	M014	ON
2011-07-09 15:51:13.496997	M009	OFF
2011-07-09 15:51:15.393456	M013	ON
2011-07-09 15:51:17.201161	M014	OFF
2011-07-09 15:51:18.633732	M012	ON
2011-07-09 15:51:19.458822	M013	OFF
2011-07-09 15:51:19.759702	M012	OFF
2011-07-09 15:51:20.254629	M013	ON
2011-07-09 15:51:20.506798	M012	ON
2011-07-09 15:51:21.30858	M014	ON
2011-07-09 15:51:21.644727	M012	OFF
2011-07-09 15:51:22.090528	M013	OFF
2011-07-09 15:51:22.914782	M009	ON				1.6
2011-07-09 15:51:23.085124	M008	ON
2011-07-09 15:51:23.129741	M015	ON
2011-07-09 15:51:23.572965	M014	OFF
2011-07-09 15:51:24.064901	M009	OFF
2011-07-09 15:51:24.113166	M015	OFF
2011-07-09 15:51:24.403351	M001	ON
2011-07-09 15:51:24.717702	M023	ON
2011-07-09 15:51:25.559044	M008	OFF
2011-07-09 15:51:25.768043	M023	OFF
2011-07-09 15:51:27.112395	M023	ON
2011-07-09 15:51:27.510592	M002	ON
2011-07-09 15:51:29.330744	M023	OFF
2011-07-09 15:51:29.45163	M001	OFF
2011-07-09 15:51:31.295655	M003	ON
2011-07-09 15:51:32.596747	M004	ON
2011-07-09 15:51:32.752711	M002	OFF
2011-07-09 15:51:33.390871	M005	ON
2011-07-09 15:51:34.563915	M005	OFF
2011-07-09 15:51:34.67717	M003	OFF
2011-07-09 15:51:35.226982	M003	ON
2011-07-09 15:51:36.307313	M002	ON
2011-07-09 15:51:36.732734	M004	OFF
2011-07-09 15:51:37.337435	M003	OFF
2011-07-09 15:51:37.376368	M001	ON
2011-07-09 15:51:37.75792	M008	ON
2011-07-09 15:51:37.900627	M007	ON				1.6
2011-07-09 15:51:37.934154	M009	ON
2011-07-09 15:51:38.454397	M001	OFF
2011-07-09 15:51:38.769622	M002	OFF
2011-07-09 15:51:38.85423	M015	ON
2011-07-09 15:51:39.262091	M016	ON
2011-07-09 15:51:39.820743	M007	OFF
2011-07-09 15:51:39.964446	M009	OFF
2011-07-09 15:51:40.048016	M008	OFF
2011-07-09 15:51:40.537728	M017	ON
2011-07-09 15:51:40.95386	BATV202	8780
2011-07-09 15:51:40.99424	M015	OFF
