2011-04-05 15:15:25.731786	T001	19.5
2011-04-05 15:18:46.971639	A001	2.84114
2011-04-05 15:18:47.051201	M001	ON
2011-04-05 15:18:47.666926	M023	ON
2011-04-05 15:18:48.054071	M006	OFF
2011-04-05 15:18:48.766616	M007	OFF
2011-04-05 15:18:48.793751	M002	OFF
2011-04-05 15:18:49.139939	M022	ON
2011-04-05 15:18:49.983521	M021	ON
2011-04-05 15:18:50.593327	M023	OFF
2011-04-05 15:18:53.441255	M001	OFF
2011-04-05 15:18:53.467209	M024	ON
2011-04-05 15:18:53.481601	M025	ON
2011-04-05 15:18:53.984186	M022	OFF
2011-04-05 15:18:54.00478	M026	ON
2011-04-05 15:18:54.607294	M021	OFF
2011-04-05 15:18:56.182559	M007	ON
2011-04-05 15:18:56.1975	M024	OFF
2011-04-05 15:18:56.211193	M025	OFF
2011-04-05 15:18:57.2542	M007	OFF
2011-04-05 15:18:58.433613	M027	ON
2011-04-05 15:18:58.454938	M007	ON
2011-04-05 15:18:59.039361	M026	OFF
2011-04-05 15:19:00.037249	M028	ON
2011-04-05 15:19:00.89215	M007	OFF
2011-04-05 15:19:01.252465	M029	ON
2011-04-05 15:19:01.637248	M043	ON
2011-04-05 15:19:02.048117	M042	ON
2011-04-05 15:19:03.886587	M028	OFF
2011-04-05 15:19:03.916018	M027	OFF
2011-04-05 15:19:04.721128	P001	1031
2011-04-05 15:19:04.860191	M029	OFF
2011-04-05 15:19:05.217367	M043	OFF
2011-04-05 15:19:09.053615	M042	OFF
2011-04-05 15:19:09.573529	M007	ON
2011-04-05 15:19:10.638473	M006	ON
2011-04-05 15:19:16.741818	M007	OFF
2011-04-05 15:19:20.642613	M007	ON
2011-04-05 15:19:21.71578	M006	OFF
2011-04-05 15:19:26.532472	A001	2.81692
2011-04-05 15:19:27.367672	M007	OFF
2011-04-05 15:19:30.077646	M007	ON
2011-04-05 15:19:33.945371	A001	2.83801
2011-04-05 15:19:35.151092	M007	OFF
2011-04-05 15:19:35.770989	M007	ON
2011-04-05 15:19:48.785266	P001	1041
2011-04-05 15:19:50.411267	M007	OFF
2011-04-05 15:19:53.857414	M007	ON
2011-04-05 15:19:57.625147	M007	OFF
2011-04-05 15:20:24.41491	M007	ON
2011-04-05 15:20:29.200013	T002	24.5
2011-04-05 15:20:30.313894	M017	ON
2011-04-05 15:20:30.331249	M016	ON
2011-04-05 15:20:30.371803	M007	OFF
2011-04-05 15:20:30.389015	M015	ON
2011-04-05 15:20:30.876424	M018	ON
2011-04-05 15:20:31.391234	SS010	STILL
2011-04-05 15:20:31.453892	M015	OFF
2011-04-05 15:20:31.837624	M016	OFF
2011-04-05 15:20:32.470877	M018	OFF				1-1-start
2011-04-05 15:20:33.017051	M017	OFF
2011-04-05 15:20:34.320871	SS010	MOVED
2011-04-05 15:20:35.643012	SS002	MOVED				1.1
2011-04-05 15:20:37.261551	SS001	MOVED				1.3
2011-04-05 15:20:41.067241	SS003	MOVED
2011-04-05 15:20:41.532261	SS009	MOVED
2011-04-05 15:20:42.544984	M018	ON
2011-04-05 15:20:43.632182	M018	OFF
2011-04-05 15:20:44.46562	SS009	STILL
2011-04-05 15:20:45.073615	SS001	STILL
2011-04-05 15:20:45.952286	SS003	STILL
2011-04-05 15:20:50.519395	A001	2.81332
2011-04-05 15:20:50.585079	M018	ON
2011-04-05 15:20:52.605212	SS010	STILL
2011-04-05 15:20:57.931603	A001	2.83661
2011-04-05 15:21:02.36363	M017	ON				1.4
2011-04-05 15:21:04.685557	M017	OFF
2011-04-05 15:21:05.288365	M017	ON				1.4
2011-04-05 15:21:10.171395	SS010	MOVED
2011-04-05 15:21:10.539269	M017	OFF
2011-04-05 15:21:12.407357	M017	ON				1.5
2011-04-05 15:21:15.010904	M018	OFF
2011-04-05 15:21:17.599732	M017	OFF	
2011-04-05 15:21:18.318115	M017	ON				1.4
2011-04-05 15:21:28.04329	M018	ON				1.8,1.10
2011-04-05 15:21:34.009448	M017	OFF
2011-04-05 15:21:36.312278	SS001	MOVED
2011-04-05 15:21:38.151633	SS002	STILL
2011-04-05 15:21:40.65623	SS002	STILL
2011-04-05 15:21:44.820209	P001	930
2011-04-05 15:21:44.949287	SS010	STILL
2011-04-05 15:21:45.638016	M017	ON
2011-04-05 15:21:45.874575	SS003	MOVED				1.2
2011-04-05 15:21:46.938304	M016	ON
2011-04-05 15:21:47.065006	SS001	STILL
2011-04-05 15:21:47.865623	M015	ON
2011-04-05 15:21:47.896796	M018	OFF
2011-04-05 15:21:48.7091	M014	ON				1.7
2011-04-05 15:21:48.724794	M017	OFF
2011-04-05 15:21:48.774295	SS002	STILL
2011-04-05 15:21:49.298874	M013	ON				1.7
2011-04-05 15:21:50.390023	M013	OFF
2011-04-05 15:21:50.974666	M016	OFF
2011-04-05 15:21:51.348675	M015	OFF
2011-04-05 15:21:51.786311	SS010	MOVED
2011-04-05 15:21:52.899401	M014	OFF
2011-04-05 15:21:55.043527	M014	ON				1.7
2011-04-05 15:21:58.001129	M013	ON				1.7
2011-04-05 15:22:00.281908	M013	OFF
2011-04-05 15:22:01.114127	M013	ON				1.7
2011-04-05 15:22:01.956772	M014	OFF
2011-04-05 15:22:06.851955	M013	OFF
2011-04-05 15:22:09.797766	A001	2.81598
2011-04-05 15:22:10.195803	M011	ON
2011-04-05 15:22:12.269303	A001	2.84965
2011-04-05 15:22:16.035721	M013	ON
2011-04-05 15:22:17.211442	A001	2.82848
2011-04-05 15:22:17.336466	M014	ON
2011-04-05 15:22:18.990936	M008	ON
2011-04-05 15:22:19.75198	M007	ON				1.6
2011-04-05 15:22:19.777432	M013	OFF
2011-04-05 15:22:20.915151	M014	OFF
2011-04-05 15:22:20.933022	M006	ON				1.6
2011-04-05 15:22:21.298122	M011	OFF
2011-04-05 15:22:21.757028	SS010	MOVED
2011-04-05 15:22:23.238412	M007	OFF
2011-04-05 15:22:23.621504	M008	OFF
2011-04-05 15:22:25.261786	M007	ON				1.6
2011-04-05 15:22:27.244943	SS010	MOVED
2011-04-05 15:22:28.564824	M001	ON				1.6
2011-04-05 15:22:29.174783	M007	OFF
2011-04-05 15:22:29.77842	M002	ON				1.6
2011-04-05 15:22:31.077699	M006	OFF
2011-04-05 15:22:31.457905	M001	OFF
2011-04-05 15:22:37.044282	A001	2.85036
2011-04-05 15:22:39.201707	M007	ON				1.6
2011-04-05 15:22:39.592223	M008	ON				1.6
2011-04-05 15:22:41.000759	M015	ON
2011-04-05 15:22:41.599103	M016	ON
2011-04-05 15:22:42.030222	A001	2.82872
2011-04-05 15:22:42.464265	M017	ON
2011-04-05 15:22:43.02524	M008	OFF
2011-04-05 15:22:43.069622	M007	OFF
2011-04-05 15:22:43.365154	SS010	STILL
2011-04-05 15:22:43.644489	M018	ON
2011-04-05 15:22:44.068458	SS002	MOVED
2011-04-05 15:22:44.197457	M002	OFF
2011-04-05 15:22:45.019488	M015	OFF
2011-04-05 15:22:45.396585	M016	OFF
2011-04-05 15:22:46.441137	M017	OFF
2011-04-05 15:22:46.814747	M018	OFF
2011-04-05 15:22:47.280966	SS010	MOVED
2011-04-05 15:22:49.35323	SS003	STILL
2011-04-05 15:22:49.401841	SS001	MOVED
2011-04-05 15:22:56.983654	SS009	MOVED
2011-04-05 15:22:58.19399	SS001	STILL
2011-04-05 15:22:59.64818	M018	ON				1.9
2011-04-05 15:22:59.767289	SS001	MOVED				
2011-04-05 15:23:00.959551	M017	ON
2011-04-05 15:23:02.227602	M016	ON
2011-04-05 15:23:02.580255	M015	ON
2011-04-05 15:23:04.493542	M008	ON
2011-04-05 15:23:04.537227	M009	ON
2011-04-05 15:23:04.551145	M018	OFF				1-1-end
2011-04-05 15:23:04.629395	SS010	MOVED
2011-04-05 15:23:04.803725	SS009	STILL
2011-04-05 15:23:05.007025	M017	OFF
2011-04-05 15:23:05.024732	M007	ON
2011-04-05 15:23:06.42854	M016	OFF
2011-04-05 15:23:06.453387	M009	OFF
2011-04-05 15:23:06.809572	M015	OFF
2011-04-05 15:23:10.719877	M008	OFF
2011-04-05 15:23:10.737145	M007	OFF
2011-04-05 15:23:24.557863	M007	ON
2011-04-05 15:23:25.51255	M008	ON
2011-04-05 15:23:25.52818	E002	START_INSTRUCT
2011-04-05 15:23:26.144303	E002	STOP_INSTRUCT
2011-04-05 15:23:26.731376	M015	ON
2011-04-05 15:23:27.122069	M016	ON
2011-04-05 15:23:27.957857	M017	ON
2011-04-05 15:23:28.33619	M007	OFF
2011-04-05 15:23:28.715532	M008	OFF
2011-04-05 15:23:29.307212	SS010	STILL
2011-04-05 15:23:29.327884	M018	ON				1-2-start
2011-04-05 15:23:30.552083	M015	OFF
2011-04-05 15:23:30.919304	M016	OFF
2011-04-05 15:23:31.939543	M018	OFF
2011-04-05 15:23:32.139754	SS002	MOVED				1.1
2011-04-05 15:23:32.327154	M017	OFF
2011-04-05 15:23:33.212066	SS010	MOVED
2011-04-05 15:23:36.924694	SS003	MOVED
2011-04-05 15:23:38.373547	SS009	STILL
2011-04-05 15:23:38.825974	SS009	MOVED
2011-04-05 15:23:40.842131	SS010	STILL
2011-04-05 15:23:42.788616	SS003	STILL
2011-04-05 15:23:43.712558	SS009	STILL
2011-04-05 15:23:43.763905	SS010	MOVED
2011-04-05 15:23:44.259151	SS009	MOVED
2011-04-05 15:23:46.731835	M018	ON				1.4
2011-04-05 15:23:46.959595	SS010	MOVED
2011-04-05 15:23:47.24506	SS010	STILL
2011-04-05 15:23:50.116912	SS009	STILL
2011-04-05 15:23:50.562717	SS009	MOVED
2011-04-05 15:23:51.152091	SS010	MOVED	
2011-04-05 15:23:51.943445	M017	ON				1.4
2011-04-05 15:23:52.486876	SS010	STILL
2011-04-05 15:23:54.213317	M018	OFF
2011-04-05 15:23:54.284427	SS009	MOVED
2011-04-05 15:23:56.241637	SS009	STILL
2011-04-05 15:23:57.363198	SS010	MOVED
2011-04-05 15:24:01.311532	A001	2.85372
2011-04-05 15:24:03.784076	A001	2.82231
2011-04-05 15:24:10.2509	M018	ON				1.8
2011-04-05 15:24:14.728437	SS009	MOVED
2011-04-05 15:24:15.266211	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/11.wav</do>
2011-04-05 15:24:15.550776	M016	ON
2011-04-05 15:24:15.937688	M015	ON
2011-04-05 15:24:16.218543	A001	2.84957
2011-04-05 15:24:16.462124	M014	ON
2011-04-05 15:24:16.840386	M018	OFF
2011-04-05 15:24:17.809062	M017	OFF				1.3
2011-04-05 15:24:18.050363	SS002	STILL
2011-04-05 15:24:18.48875	SS010	MOVED
2011-04-05 15:24:18.630304	SS009	STILL
2011-04-05 15:24:18.714323	A001	2.82778
2011-04-05 15:24:19.121578	M016	OFF
2011-04-05 15:24:19.530696	M016	ON				1.5
2011-04-05 15:24:20.1051	M014	OFF
2011-04-05 15:24:20.468321	SS009	MOVED
2011-04-05 15:24:21.413498	M017	ON
2011-04-05 15:24:21.919127	SS002	MOVED
2011-04-05 15:24:22.70935	M018	ON				1.10
2011-04-05 15:24:23.485032	M015	OFF
2011-04-05 15:24:23.663215	A001	2.85465
2011-04-05 15:24:23.852067	M016	OFF
2011-04-05 15:24:25.931562	M017	OFF
2011-04-05 15:24:26.150995	A001	2.83301
2011-04-05 15:24:26.280776	SS003	STILL
2011-04-05 15:24:26.910541	SS009	STILL
2011-04-05 15:24:26.928518	SS010	MOVED
2011-04-05 15:24:27.31172	M018	OFF
2011-04-05 15:24:29.187147	SS009	MOVED
2011-04-05 15:24:29.237159	SS010	STILL
2011-04-05 15:24:31.139651	SS009	STILL
2011-04-05 15:24:31.193541	SS010	MOVED
2011-04-05 15:24:31.245483	M018	ON
2011-04-05 15:24:32.619783	SS010	STILL
2011-04-05 15:24:35.564971	SS010	MOVED
2011-04-05 15:24:37.468746	SS010	STILL
2011-04-05 15:24:38.765033	M017	ON
2011-04-05 15:24:39.384669	SS003	MOVED				1.2
2011-04-05 15:24:40.440569	M016	ON
2011-04-05 15:24:40.488032	M015	ON
2011-04-05 15:24:41.059144	SS001	STILL
2011-04-05 15:24:41.345263	M014	ON				1.7
2011-04-05 15:24:41.718854	M018	OFF
2011-04-05 15:24:42.099727	M017	OFF
2011-04-05 15:24:42.34308	SS010	MOVED
2011-04-05 15:24:42.404471	SS002	STILL
2011-04-05 15:24:42.496981	M013	ON				
2011-04-05 15:24:43.665067	M016	OFF
2011-04-05 15:24:44.40967	M014	OFF
2011-04-05 15:24:44.788029	M015	OFF
2011-04-05 15:24:45.170929	M014	ON
2011-04-05 15:24:46.001582	M009	ON				1.6
2011-04-05 15:24:46.526147	M008	ON				1.6
2011-04-05 15:24:47.122303	M007	ON				1.6
2011-04-05 15:24:47.735931	M013	OFF
2011-04-05 15:24:48.375963	M002	ON
2011-04-05 15:24:48.76732	M014	OFF
2011-04-05 15:24:49.128482	M003	ON
2011-04-05 15:24:49.512782	M009	OFF
2011-04-05 15:24:49.895728	M007	OFF
2011-04-05 15:24:50.637331	M006	ON
2011-04-05 15:24:51.020395	M008	OFF
2011-04-05 15:24:51.391117	M002	OFF
2011-04-05 15:24:52.013076	M002	ON
2011-04-05 15:24:52.617523	M006	OFF
2011-04-05 15:24:54.717081	M007	ON
2011-04-05 15:24:55.742875	M008	ON
2011-04-05 15:24:55.763509	M001	ON
2011-04-05 15:24:55.779908	M003	OFF
2011-04-05 15:24:57.183319	M016	ON
2011-04-05 15:24:57.229786	M015	ON
2011-04-05 15:24:57.982807	M001	OFF
2011-04-05 15:24:58.000284	M002	OFF
2011-04-05 15:24:58.524078	M017	ON
2011-04-05 15:24:58.869181	M007	OFF
2011-04-05 15:24:59.38012	SS010	STILL
2011-04-05 15:24:59.408449	M008	OFF
2011-04-05 15:24:59.422711	M018	ON				1.9
2011-04-05 15:25:00.407118	M016	OFF
2011-04-05 15:25:01.237984	M015	OFF
2011-04-05 15:25:01.844364	M018	OFF
2011-04-05 15:25:02.576005	M017	OFF
2011-04-05 15:25:03.286885	SS010	MOVED
2011-04-05 15:25:04.769851	SS009	MOVED
2011-04-05 15:25:07.366202	SS001	MOVED
2011-04-05 15:25:07.718925	SS009	STILL
2011-04-05 15:25:08.842493	SS003	STILL
2011-04-05 15:25:09.999191	SS009	MOVED
2011-04-05 15:25:13.16971	A001	2.86028
2011-04-05 15:25:15.625996	A001	2.82825
2011-04-05 15:25:17.187099	SS009	STILL
2011-04-05 15:25:18.217137	SS003	STILL
2011-04-05 15:25:23.972083	SS001	STILL
2011-04-05 15:25:24.215572	SS002	MOVED
2011-04-05 15:25:26.059117	SS009	MOVED
2011-04-05 15:25:27.988337	A001	2.85317
2011-04-05 15:25:28.552227	SS003	MOVED
2011-04-05 15:25:29.303956	SS001	MOVED
2011-04-05 15:25:31.047719	SS010	STILL
2011-04-05 15:25:32.018579	SS002	STILL
2011-04-05 15:25:32.219173	SS009	STILL
2011-04-05 15:25:32.758052	T005	24
2011-04-05 15:25:32.938831	A001	2.83067
2011-04-05 15:25:33.734902	M017	ON
2011-04-05 15:25:33.752629	M016	ON
2011-04-05 15:25:33.780666	M015	ON
2011-04-05 15:25:33.798483	M018	ON				1-2-end
2011-04-05 15:25:34.313209	M008	ON
2011-04-05 15:25:34.32834	M017	OFF
2011-04-05 15:25:34.962406	M016	OFF
2011-04-05 15:25:34.979036	M007	ON
2011-04-05 15:25:35.000074	M018	OFF
2011-04-05 15:25:35.798768	E002	START_INSTRUCT
2011-04-05 15:25:35.930723	SS010	MOVED
2011-04-05 15:25:36.347229	M015	OFF
2011-04-05 15:25:36.87983	M007	OFF
2011-04-05 15:25:36.897521	E002	STOP_INSTRUCT
2011-04-05 15:25:37.259823	M008	OFF
2011-04-05 15:25:56.61086	M007	ON
2011-04-05 15:25:56.987723	E002	START_INSTRUCT
2011-04-05 15:25:57.536552	M008	ON
2011-04-05 15:25:57.916578	E002	STOP_INSTRUCT
2011-04-05 15:25:58.820326	M015	ON
2011-04-05 15:25:59.200174	M016	ON
2011-04-05 15:26:00.060145	M017	ON
2011-04-05 15:26:00.448227	M007	OFF
2011-04-05 15:26:01.026904	M008	OFF
2011-04-05 15:26:01.155748	SS010	STILL
2011-04-05 15:26:01.422209	M018	ON		1-3-start,1.1
2011-04-05 15:26:01.700421	SS011	MOVED
2011-04-05 15:26:02.881225	M015	OFF
2011-04-05 15:26:03.394174	M016	OFF
2011-04-05 15:26:03.655345	SS011	STILL
2011-04-05 15:26:04.207737	M017	OFF
2011-04-05 15:26:04.222098	M018	OFF
2011-04-05 15:26:05.063226	SS010	MOVED
2011-04-05 15:26:06.87138	SS001	MOVED
2011-04-05 15:26:09.074726	SS003	MOVED
2011-04-05 15:26:10.292961	SS009	MOVED
2011-04-05 15:26:10.436979	M018	ON				1.4
2011-04-05 15:26:12.289149	SS010	STILL
2011-04-05 15:26:14.942001	SS003	STILL
2011-04-05 15:26:17.505206	M018	OFF
2011-04-05 15:26:17.608381	SS001	STILL
2011-04-05 15:26:17.782374	SS009	STILL
2011-04-05 15:26:18.115398	M018	ON		
2011-04-05 15:26:18.142335	SS010	MOVED
2011-04-05 15:26:19.527499	M017	ON				1.4
2011-04-05 15:26:20.04731	SS010	STILL
2011-04-05 15:26:20.575709	M018	OFF
2011-04-05 15:26:24.043573	M017	OFF
2011-04-05 15:26:24.629578	M017	ON
2011-04-05 15:26:26.886962	SS010	MOVED
2011-04-05 15:26:28.968187	P001	944
2011-04-05 15:26:32.111999	M018	ON				1.8
2011-04-05 15:26:35.126064	M017	OFF
2011-04-05 15:26:36.155417	SS001	MOVED				1.3
2011-04-05 15:26:38.266631	SS002	STILL
2011-04-05 15:26:39.05494	SS002	MOVED
2011-04-05 15:26:39.913995	SS010	STILL
2011-04-05 15:26:45.721288	M017	ON
2011-04-05 15:26:45.863726	SS003	MOVED				1.2
2011-04-05 15:26:47.557309	M016	ON
2011-04-05 15:26:47.572161	M015	ON
2011-04-05 15:26:48.795322	M008	ON
2011-04-05 15:26:48.862355	SS001	STILL				1.5
2011-04-05 15:26:48.977665	P001	933
2011-04-05 15:26:49.186247	M017	OFF				
2011-04-05 15:26:49.546797	M007	ON				1.6
2011-04-05 15:26:50.060219	M016	OFF
2011-04-05 15:26:50.086947	M018	OFF
2011-04-05 15:26:51.41523	M002	ON				1.6
2011-04-05 15:26:51.435969	M015	OFF
2011-04-05 15:26:51.644683	SS010	MOVED
2011-04-05 15:26:51.809765	M003	ON				1.6
2011-04-05 15:26:52.414328	M006	ON
2011-04-05 15:26:53.488153	M008	OFF
2011-04-05 15:26:53.50348	M007	OFF
2011-04-05 15:26:54.090047	M006	OFF
2011-04-05 15:26:57.042969	A001	2.86004
2011-04-05 15:26:58.714638	M003	OFF
2011-04-05 15:27:02.009248	A001	2.83379
2011-04-05 15:27:07.784153	M001	ON
2011-04-05 15:27:08.163836	M002	OFF
2011-04-05 15:27:09.78648	M007	ON
2011-04-05 15:27:10.165959	M008	ON
2011-04-05 15:27:10.535561	M009	ON
2011-04-05 15:27:11.636745	M015	ON	
2011-04-05 15:27:12.158161	M016	ON
2011-04-05 15:27:12.176765	M007	OFF
2011-04-05 15:27:12.536484	M001	OFF
2011-04-05 15:27:12.708184	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/12.wav</do>
2011-04-05 15:27:13.081069	M017	ON				
2011-04-05 15:27:13.097609	M009	OFF
2011-04-05 15:27:13.444633	M008	OFF
2011-04-05 15:27:13.681493	SS002	MOVED			
2011-04-05 15:27:13.900199	SS010	STILL
2011-04-05 15:27:14.119328	M018	ON
2011-04-05 15:27:14.483024	M016	OFF
2011-04-05 15:27:15.583727	M015	OFF
2011-04-05 15:27:16.866817	A001	2.85379
2011-04-05 15:27:17.609506	SS002	STILL
2011-04-05 15:27:19.059141	M016	ON
2011-04-05 15:27:19.339935	A001	2.8202
2011-04-05 15:27:19.432893	M015	ON
2011-04-05 15:27:20.044613	M014	ON				1.7
2011-04-05 15:27:20.417376	M018	OFF
2011-04-05 15:27:20.90919	M013	ON				1.7
2011-04-05 15:27:21.293193	M017	OFF
2011-04-05 15:27:21.50499	SS002	STILL
2011-04-05 15:27:22.690606	SS010	MOVED
2011-04-05 15:27:22.768006	M016	OFF
2011-04-05 15:27:23.264968	M013	OFF
2011-04-05 15:27:23.655773	M015	OFF
2011-04-05 15:27:24.887462	M013	ON
2011-04-05 15:27:28.36844	M014	OFF
2011-04-05 15:27:29.214294	M014	ON
2011-04-05 15:27:30.941021	M015	ON
2011-04-05 15:27:31.784935	M016	ON
2011-04-05 15:27:32.301208	M013	OFF
2011-04-05 15:27:32.905611	M017	ON
2011-04-05 15:27:33.744655	M018	ON				1.9
2011-04-05 15:27:33.811162	SS002	MOVED
2011-04-05 15:27:34.080498	SS010	STILL
2011-04-05 15:27:34.172829	M015	OFF
2011-04-05 15:27:34.838538	M014	OFF
2011-04-05 15:27:35.231119	SS009	MOVED	
2011-04-05 15:27:35.932658	M016	OFF
2011-04-05 15:27:37.169119	M017	OFF
2011-04-05 15:27:37.183985	M018	OFF
2011-04-05 15:27:38.215374	SS010	STILL
2011-04-05 15:27:39.27568	M018	ON
2011-04-05 15:27:40.547034	SS003	STILL
2011-04-05 15:27:41.079136	SS001	MOVED
2011-04-05 15:27:42.1232	SS010	MOVED
2011-04-05 15:27:46.252581	M018	OFF
2011-04-05 15:27:47.004751	P001	923
2011-04-05 15:27:53.069972	M018	ON				1-3-end
2011-04-05 15:27:54.133717	M017	ON
2011-04-05 15:27:54.465407	SS010	STILL
2011-04-05 15:27:55.754164	M016	ON
2011-04-05 15:27:56.138991	M015	ON
2011-04-05 15:27:56.23713	SS009	STILL
2011-04-05 15:27:56.38737	SS002	STILL
2011-04-05 15:27:56.704068	SS001	STILL
2011-04-05 15:27:56.916959	M008	ON
2011-04-05 15:27:56.96296	M018	OFF
2011-04-05 15:27:57.852101	M017	OFF
2011-04-05 15:27:57.895581	M009	ON
2011-04-05 15:27:58.370245	SS010	MOVED
2011-04-05 15:27:58.583975	M016	OFF
2011-04-05 15:27:58.617875	M007	ON
2011-04-05 15:27:58.912429	E002	START_INSTRUCT
2011-04-05 15:27:59.261447	M002	ON
2011-04-05 15:28:00.187763	M009	OFF
2011-04-05 15:28:00.20276	M015	OFF
2011-04-05 15:28:00.21641	E002	STOP_INSTRUCT
2011-04-05 15:28:01.810308	M008	OFF
2011-04-05 15:28:02.427955	M007	OFF
2011-04-05 15:28:02.806261	M002	OFF
2011-04-05 15:28:03.863384	A001	2.84692
2011-04-05 15:28:04.607775	M002	ON
2011-04-05 15:28:09.106237	M002	OFF
2011-04-05 15:28:19.040576	P001	933
2011-04-05 15:28:21.182897	A001	2.8245
2011-04-05 15:28:23.64886	A001	2.85387
2011-04-05 15:28:25.575414	M007	ON
2011-04-05 15:28:25.594057	M002	ON
2011-04-05 15:28:26.193553	M008	ON
2011-04-05 15:28:26.574331	E002	START_INSTRUCT
2011-04-05 15:28:27.324949	E002	STOP_INSTRUCT
2011-04-05 15:28:27.853819	M016	ON
2011-04-05 15:28:27.872555	M015	ON
2011-04-05 15:28:28.592443	A001	2.82723
2011-04-05 15:28:28.665421	M002	OFF
2011-04-05 15:28:28.996215	M017	ON
2011-04-05 15:28:32.226487	M008	OFF
2011-04-05 15:28:32.254334	M007	OFF
2011-04-05 15:28:32.272426	M015	OFF
2011-04-05 15:28:32.28685	M018	ON
2011-04-05 15:28:32.741438	M016	OFF
2011-04-05 15:28:32.75591	M018	OFF				1-4-start
2011-04-05 15:28:33.31453	M017	OFF
2011-04-05 15:28:33.656896	SS002	MOVED				1.1
2011-04-05 15:28:34.829542	SS010	MOVED
2011-04-05 15:28:36.662556	SS003	MOVED
2011-04-05 15:28:39.255144	SS010	STILL
2011-04-05 15:28:40.215666	M018	ON				1.4
2011-04-05 15:28:41.480509	M017	ON				1.4
2011-04-05 15:28:43.509444	SS003	STILL
2011-04-05 15:28:44.320199	M018	OFF
2011-04-05 15:28:44.945637	M017	OFF
2011-04-05 15:28:45.511337	M017	ON
2011-04-05 15:28:49.022155	SS010	MOVED
2011-04-05 15:28:49.330907	M018	ON				1.8
2011-04-05 15:28:49.521973	SS010	STILL
2011-04-05 15:28:52.447869	SS010	MOVED
2011-04-05 15:28:53.227892	M017	OFF
2011-04-05 15:28:55.907152	A001	2.85317
2011-04-05 15:28:59.645141	SS010	STILL
2011-04-05 15:28:59.788169	M017	ON
2011-04-05 15:29:00.480329	SS003	MOVED
2011-04-05 15:29:01.630087	M016	ON
2011-04-05 15:29:01.645072	M015	ON
2011-04-05 15:29:02.379195	M008	ON
2011-04-05 15:29:02.952023	SS002	STILL
2011-04-05 15:29:03.360838	A001	2.82739
2011-04-05 15:29:03.404384	M017	OFF
2011-04-05 15:29:03.443199	M016	OFF
2011-04-05 15:29:04.01067	M007	ON
2011-04-05 15:29:04.852086	M018	OFF
2011-04-05 15:29:05.225586	M015	OFF
2011-04-05 15:29:05.370678	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/11.wav</do>
2011-04-05 15:29:05.850375	M008	OFF
2011-04-05 15:29:06.405842	M006	ON
2011-04-05 15:29:06.479437	SS010	MOVED
2011-04-05 15:29:08.992531	M006	OFF
2011-04-05 15:29:10.542957	M008	ON
2011-04-05 15:29:11.356365	M009	ON
2011-04-05 15:29:11.704903	M015	ON
2011-04-05 15:29:12.328588	M016	ON
